currency,base_currency,currency_name,exchange_rate,date,currency_pair
CAD,EUR,Canadian Dollar,1.4538,2017-03-27,EUR/CAD
CNY,EUR,Chinese Yuan,7.6125,2023-05-05,EUR/CNY
PLN,EUR,Polish Zloty,4.2941,2016-04-19,EUR/PLN
AUD,EUR,Australian Dollar,1.9553,2009-01-02,EUR/AUD
GBP,EUR,British Pound Sterling,0.7898,2008-06-20,EUR/GBP
JPY,EUR,Japanese Yen,128.723,2021-11-19,EUR/JPY
ZAR,EUR,South African Rand,20.3146,2023-08-24,EUR/ZAR
GBP,EUR,British Pound Sterling,0.857288,2025-04-18,EUR/GBP
DKK,EUR,Danish Krone,7.44375,2020-09-25,EUR/DKK
HKD,EUR,Hong Kong Dollar,9.135448,2026-04-09,EUR/HKD
MXN,EUR,Mexican Peso,19.9711,2022-11-28,EUR/MXN
PLN,EUR,Polish Zloty,4.275173,2024-05-29,EUR/PLN
USD,EUR,United States Dollar,1.07571,2016-12-07,EUR/USD
NOK,EUR,Norwegian Krone,10.55506,2020-07-16,EUR/NOK
ZAR,EUR,South African Rand,19.319352,2025-01-06,EUR/ZAR
CAD,EUR,Canadian Dollar,1.3397,2013-04-19,EUR/CAD
GBP,EUR,British Pound Sterling,0.6697,2006-10-20,EUR/GBP
SEK,EUR,Swedish Krona,9.45228,2017-02-08,EUR/SEK
NOK,EUR,Norwegian Krone,9.54132,2018-08-08,EUR/NOK
JPY,EUR,Japanese Yen,184.765337,2026-06-30,EUR/JPY
JPY,EUR,Japanese Yen,133.88,2021-05-28,EUR/JPY
CNY,EUR,Chinese Yuan,7.985234,2026-05-05,EUR/CNY
DKK,EUR,Danish Krone,7.4458,2018-01-04,EUR/DKK
NOK,EUR,Norwegian Krone,9.2346,2017-08-31,EUR/NOK
JPY,EUR,Japanese Yen,132.478,2018-09-26,EUR/JPY
DKK,EUR,Danish Krone,7.4565,2018-09-27,EUR/DKK
JPY,EUR,Japanese Yen,133.512,2017-12-04,EUR/JPY
SEK,EUR,Swedish Krona,10.48205,2022-05-24,EUR/SEK
CNY,EUR,Chinese Yuan,7.862884,2024-09-14,EUR/CNY
SGD,EUR,Singapore Dollar,1.45434,2023-05-09,EUR/SGD
CAD,EUR,Canadian Dollar,1.43637,2022-12-12,EUR/CAD
CZK,EUR,Czech Republic Koruna,25.5499,2019-10-22,EUR/CZK
AUD,EUR,Australian Dollar,1.653367,2024-02-09,EUR/AUD
DKK,EUR,Danish Krone,7.460613,2025-06-22,EUR/DKK
CNY,EUR,Chinese Yuan,7.6333,2017-06-01,EUR/CNY
USD,EUR,United States Dollar,1.3064,2005-04-22,EUR/USD
CZK,EUR,Czech Republic Koruna,27.4463,2014-04-02,EUR/CZK
SEK,EUR,Swedish Krona,11.508754,2024-12-05,EUR/SEK
USD,EUR,United States Dollar,1.2789,2006-06-30,EUR/USD
CNY,EUR,Chinese Yuan,7.839422,2025-03-08,EUR/CNY
AUD,EUR,Australian Dollar,1.7445,2004-09-16,EUR/AUD
CHF,EUR,Swiss Franc,1.07219,2020-10-22,EUR/CHF
CHF,EUR,Swiss Franc,1.2766,2011-05-03,EUR/CHF
CHF,EUR,Swiss Franc,1.5424,2005-02-24,EUR/CHF
JPY,EUR,Japanese Yen,128.393,2021-08-20,EUR/JPY
PLN,EUR,Polish Zloty,4.0377,2015-04-30,EUR/PLN
MXN,EUR,Mexican Peso,24.3208,2018-06-12,EUR/MXN
CHF,EUR,Swiss Franc,1.6318,2008-05-15,EUR/CHF
HKD,EUR,Hong Kong Dollar,8.491128,2024-03-05,EUR/HKD
NZD,EUR,New Zealand Dollar,1.782052,2024-12-02,EUR/NZD
AUD,EUR,Australian Dollar,1.6124,2008-06-04,EUR/AUD
AUD,EUR,Australian Dollar,1.6525,2007-03-22,EUR/AUD
CZK,EUR,Czech Republic Koruna,27.0143,2015-08-03,EUR/CZK
CAD,EUR,Canadian Dollar,1.42869,2023-09-26,EUR/CAD
DKK,EUR,Danish Krone,7.4381,2021-08-02,EUR/DKK
NOK,EUR,Norwegian Krone,11.806517,2026-01-04,EUR/NOK
JPY,EUR,Japanese Yen,166.711526,2025-06-18,EUR/JPY
HKD,EUR,Hong Kong Dollar,10.8296,2011-03-08,EUR/HKD
SEK,EUR,Swedish Krona,10.5705,2019-03-12,EUR/SEK
MXN,EUR,Mexican Peso,21.439,2016-12-21,EUR/MXN
JPY,EUR,Japanese Yen,159.642,2023-08-30,EUR/JPY
CHF,EUR,Swiss Franc,1.08995,2016-10-13,EUR/CHF
USD,EUR,United States Dollar,1.3678,2013-12-24,EUR/USD
ZAR,EUR,South African Rand,14.9462,2016-11-30,EUR/ZAR
CNY,EUR,Chinese Yuan,7.1123,2015-10-01,EUR/CNY
GBP,EUR,British Pound Sterling,0.876329,2023-11-17,EUR/GBP
CNY,EUR,Chinese Yuan,7.7515,2020-03-02,EUR/CNY
ZAR,EUR,South African Rand,17.3448,2022-09-26,EUR/ZAR
GBP,EUR,British Pound Sterling,0.8369,2013-11-26,EUR/GBP
CAD,EUR,Canadian Dollar,1.47665,2017-06-23,EUR/CAD
ZAR,EUR,South African Rand,16.0525,2019-05-03,EUR/ZAR
HKD,EUR,Hong Kong Dollar,12.3903,2008-07-02,EUR/HKD
SGD,EUR,Singapore Dollar,1.4803,2017-02-24,EUR/SGD
HKD,EUR,Hong Kong Dollar,7.85456,2022-09-07,EUR/HKD
CZK,EUR,Czech Republic Koruna,24.4081,2023-09-24,EUR/CZK
CNY,EUR,Chinese Yuan,7.572819,2025-02-28,EUR/CNY
CNY,EUR,Chinese Yuan,7.749,2018-02-08,EUR/CNY
JPY,EUR,Japanese Yen,161.000138,2024-03-10,EUR/JPY
USD,EUR,United States Dollar,1.081543,2024-02-21,EUR/USD
TRY,EUR,Turkish Lira,36.833863,2024-12-09,EUR/TRY
CZK,EUR,Czech Republic Koruna,27.4262,2015-04-15,EUR/CZK
JPY,EUR,Japanese Yen,98.41,2012-08-27,EUR/JPY
JPY,EUR,Japanese Yen,162.04,2007-12-05,EUR/JPY
ZAR,EUR,South African Rand,20.3853,2023-06-29,EUR/ZAR
NOK,EUR,Norwegian Krone,8.33281,2014-03-26,EUR/NOK
AUD,EUR,Australian Dollar,1.53738,2017-12-25,EUR/AUD
CHF,EUR,Swiss Franc,1.03817,2022-01-18,EUR/CHF
MXN,EUR,Mexican Peso,16.84854,2014-11-09,EUR/MXN
CNY,EUR,Chinese Yuan,7.2562,2016-02-16,EUR/CNY
CNY,EUR,Chinese Yuan,7.6955,2019-01-16,EUR/CNY
AUD,EUR,Australian Dollar,1.625904,2026-05-24,EUR/AUD
CHF,EUR,Swiss Franc,1.2328,2013-08-23,EUR/CHF
SEK,EUR,Swedish Krona,10.2416,2021-11-29,EUR/SEK
CHF,EUR,Swiss Franc,1.2069,2011-06-01,EUR/CHF
CHF,EUR,Swiss Franc,1.5156,2009-09-09,EUR/CHF
CAD,EUR,Canadian Dollar,1.49556,2023-04-24,EUR/CAD
NZD,EUR,New Zealand Dollar,1.5498,2013-05-01,EUR/NZD
NZD,EUR,New Zealand Dollar,1.67684,2021-02-16,EUR/NZD
JPY,EUR,Japanese Yen,112.14,2011-07-20,EUR/JPY
MXN,EUR,Mexican Peso,22.40553,2018-04-01,EUR/MXN
ZAR,EUR,South African Rand,13.4729,2015-07-21,EUR/ZAR
CHF,EUR,Swiss Franc,1.3122,2011-02-08,EUR/CHF
CNY,EUR,Chinese Yuan,7.906248,2024-08-17,EUR/CNY
GBP,EUR,British Pound Sterling,0.845511,2024-07-05,EUR/GBP
DKK,EUR,Danish Krone,7.4424,2017-10-04,EUR/DKK
PLN,EUR,Polish Zloty,4.27317,2025-07-30,EUR/PLN
SEK,EUR,Swedish Krona,10.18371,2020-12-16,EUR/SEK
NOK,EUR,Norwegian Krone,8.1015,2013-10-30,EUR/NOK
DKK,EUR,Danish Krone,7.4605,2018-10-22,EUR/DKK
DKK,EUR,Danish Krone,7.4725,2020-02-04,EUR/DKK
JPY,EUR,Japanese Yen,183.992653,2026-06-26,EUR/JPY
DKK,EUR,Danish Krone,7.47896,2026-06-13,EUR/DKK
SGD,EUR,Singapore Dollar,1.6188,2018-04-19,EUR/SGD
JPY,EUR,Japanese Yen,121.24,2019-12-20,EUR/JPY
SGD,EUR,Singapore Dollar,1.60006,2021-03-08,EUR/SGD
TRY,EUR,Turkish Lira,34.870008,2024-03-25,EUR/TRY
SEK,EUR,Swedish Krona,11.276511,2023-12-09,EUR/SEK
CZK,EUR,Czech Republic Koruna,24.820731,2024-01-24,EUR/CZK
AUD,EUR,Australian Dollar,1.436,2010-08-11,EUR/AUD
TRY,EUR,Turkish Lira,16.0429,2022-04-08,EUR/TRY
USD,EUR,United States Dollar,1.15553,2025-06-15,EUR/USD
HKD,EUR,Hong Kong Dollar,10.0994,2013-04-25,EUR/HKD
SGD,EUR,Singapore Dollar,1.497056,2025-07-14,EUR/SGD
TRY,EUR,Turkish Lira,15.30862,2022-01-17,EUR/TRY
SGD,EUR,Singapore Dollar,1.4693,2015-03-16,EUR/SGD
SGD,EUR,Singapore Dollar,1.4944,2020-01-20,EUR/SGD
CHF,EUR,Swiss Franc,1.5764,2006-04-10,EUR/CHF
HKD,EUR,Hong Kong Dollar,9.7802,2010-07-12,EUR/HKD
DKK,EUR,Danish Krone,7.453479,2024-02-02,EUR/DKK
AUD,EUR,Australian Dollar,1.9516,2008-11-12,EUR/AUD
CAD,EUR,Canadian Dollar,1.5699,2020-08-17,EUR/CAD
SEK,EUR,Swedish Krona,9.70419,2017-10-25,EUR/SEK
NZD,EUR,New Zealand Dollar,1.7501,2010-12-03,EUR/NZD
NZD,EUR,New Zealand Dollar,1.73328,2019-10-23,EUR/NZD
CHF,EUR,Swiss Franc,1.08365,2020-12-30,EUR/CHF
CZK,EUR,Czech Republic Koruna,27.4818,2014-09-25,EUR/CZK
HKD,EUR,Hong Kong Dollar,8.7873,2020-06-04,EUR/HKD
HKD,EUR,Hong Kong Dollar,8.5714,2015-08-11,EUR/HKD
NZD,EUR,New Zealand Dollar,1.975676,2026-02-02,EUR/NZD
HKD,EUR,Hong Kong Dollar,8.2832,2022-06-16,EUR/HKD
ZAR,EUR,South African Rand,20.735271,2024-01-19,EUR/ZAR
CAD,EUR,Canadian Dollar,1.629438,2025-09-17,EUR/CAD
NOK,EUR,Norwegian Krone,9.4534,2018-06-13,EUR/NOK
USD,EUR,United States Dollar,1.3643,2014-05-26,EUR/USD
CHF,EUR,Swiss Franc,1.06967,2017-03-08,EUR/CHF
GBP,EUR,British Pound Sterling,0.863297,2026-06-27,EUR/GBP
NOK,EUR,Norwegian Krone,11.012222,2026-06-14,EUR/NOK
NOK,EUR,Norwegian Krone,11.971943,2023-11-08,EUR/NOK
SEK,EUR,Swedish Krona,11.362764,2024-09-23,EUR/SEK
JPY,EUR,Japanese Yen,125.28,2010-04-20,EUR/JPY
CHF,EUR,Swiss Franc,0.938273,2025-08-21,EUR/CHF
CAD,EUR,Canadian Dollar,1.5138,2014-04-03,EUR/CAD
GBP,EUR,British Pound Sterling,0.675,2005-11-04,EUR/GBP
ZAR,EUR,South African Rand,15.8794,2019-12-18,EUR/ZAR
HKD,EUR,Hong Kong Dollar,10.2071,2012-03-07,EUR/HKD
JPY,EUR,Japanese Yen,128.726,2021-02-24,EUR/JPY
AUD,EUR,Australian Dollar,1.6338,2007-05-09,EUR/AUD
SGD,EUR,Singapore Dollar,1.51617,2020-02-21,EUR/SGD
NOK,EUR,Norwegian Krone,10.01883,2019-08-15,EUR/NOK
GBP,EUR,British Pound Sterling,0.8315,2011-01-11,EUR/GBP
HKD,EUR,Hong Kong Dollar,10.1517,2012-10-16,EUR/HKD
CNY,EUR,Chinese Yuan,8.5713,2009-02-18,EUR/CNY
CNY,EUR,Chinese Yuan,7.4382,2021-11-03,EUR/CNY
AUD,EUR,Australian Dollar,1.2415,2012-06-26,EUR/AUD
TRY,EUR,Turkish Lira,37.964527,2025-02-28,EUR/TRY
CHF,EUR,Swiss Franc,0.921167,2026-04-02,EUR/CHF
MXN,EUR,Mexican Peso,20.79263,2016-08-07,EUR/MXN
AUD,EUR,Australian Dollar,1.6959,2009-08-13,EUR/AUD
CAD,EUR,Canadian Dollar,1.51539,2020-04-28,EUR/CAD
JPY,EUR,Japanese Yen,158.1,2008-01-24,EUR/JPY
CAD,EUR,Canadian Dollar,1.39744,2017-01-03,EUR/CAD
USD,EUR,United States Dollar,1.1398,2017-07-07,EUR/USD
NZD,EUR,New Zealand Dollar,1.5455,2012-08-27,EUR/NZD
CNY,EUR,Chinese Yuan,7.3111,2023-02-21,EUR/CNY
GBP,EUR,British Pound Sterling,0.8135,2014-05-29,EUR/GBP
DKK,EUR,Danish Krone,7.4361,2021-09-21,EUR/DKK
PLN,EUR,Polish Zloty,4.1983,2017-12-19,EUR/PLN
NOK,EUR,Norwegian Krone,9.33166,2016-06-22,EUR/NOK
MXN,EUR,Mexican Peso,21.952125,2025-07-07,EUR/MXN
USD,EUR,United States Dollar,1.3358,2007-06-11,EUR/USD
JPY,EUR,Japanese Yen,149.26,2006-10-31,EUR/JPY
TRY,EUR,Turkish Lira,47.017224,2025-07-15,EUR/TRY
USD,EUR,United States Dollar,1.4671,2008-08-29,EUR/USD
NZD,EUR,New Zealand Dollar,2.2563,2009-05-22,EUR/NZD
CNY,EUR,Chinese Yuan,7.6459,2023-04-26,EUR/CNY
CNY,EUR,Chinese Yuan,10.2303,2009-11-10,EUR/CNY
NOK,EUR,Norwegian Krone,8.995,2015-07-07,EUR/NOK
CAD,EUR,Canadian Dollar,1.615544,2025-08-20,EUR/CAD
CAD,EUR,Canadian Dollar,1.5211,2006-12-05,EUR/CAD
SGD,EUR,Singapore Dollar,1.50075,2022-03-03,EUR/SGD
NOK,EUR,Norwegian Krone,11.585369,2024-06-08,EUR/NOK
HKD,EUR,Hong Kong Dollar,11.2953,2011-06-09,EUR/HKD
GBP,EUR,British Pound Sterling,0.8988,2009-12-14,EUR/GBP
DKK,EUR,Danish Krone,7.4607,2018-10-16,EUR/DKK
PLN,EUR,Polish Zloty,4.3693,2016-07-18,EUR/PLN
SEK,EUR,Swedish Krona,9.31086,2016-05-12,EUR/SEK
CAD,EUR,Canadian Dollar,1.36474,2022-04-14,EUR/CAD
JPY,EUR,Japanese Yen,129.006,2018-12-03,EUR/JPY
CNY,EUR,Chinese Yuan,6.9167,2015-05-19,EUR/CNY
PLN,EUR,Polish Zloty,4.255536,2026-04-09,EUR/PLN
CHF,EUR,Swiss Franc,1.6692,2007-10-09,EUR/CHF
NZD,EUR,New Zealand Dollar,1.66379,2016-05-17,EUR/NZD
DKK,EUR,Danish Krone,7.4597,2015-12-03,EUR/DKK
DKK,EUR,Danish Krone,7.43837,2022-04-14,EUR/DKK
SGD,EUR,Singapore Dollar,1.448126,2024-06-21,EUR/SGD
GBP,EUR,British Pound Sterling,0.8786,2010-02-24,EUR/GBP
HKD,EUR,Hong Kong Dollar,8.75313,2020-06-08,EUR/HKD
JPY,EUR,Japanese Yen,107.061,2012-11-30,EUR/JPY
CNY,EUR,Chinese Yuan,7.6288,2021-08-27,EUR/CNY
AUD,EUR,Australian Dollar,1.6789,2007-12-05,EUR/AUD
SEK,EUR,Swedish Krona,11.793265,2024-05-26,EUR/SEK
CZK,EUR,Czech Republic Koruna,25.4342,2018-03-12,EUR/CZK
CZK,EUR,Czech Republic Koruna,26.6245,2020-07-09,EUR/CZK
DKK,EUR,Danish Krone,7.44759,2023-07-05,EUR/DKK
HKD,EUR,Hong Kong Dollar,10.0425,2008-11-05,EUR/HKD
NOK,EUR,Norwegian Krone,8.4333,2014-07-01,EUR/NOK
CNY,EUR,Chinese Yuan,7.7062,2021-03-26,EUR/CNY
JPY,EUR,Japanese Yen,139.53,2014-02-10,EUR/JPY
AUD,EUR,Australian Dollar,1.2474,2012-09-18,EUR/AUD
AUD,EUR,Australian Dollar,1.6198,2005-09-07,EUR/AUD
NZD,EUR,New Zealand Dollar,1.64682,2018-12-11,EUR/NZD
MXN,EUR,Mexican Peso,21.905847,2025-06-20,EUR/MXN
CZK,EUR,Czech Republic Koruna,24.384413,2026-03-04,EUR/CZK
USD,EUR,United States Dollar,1.158708,2025-10-13,EUR/USD
USD,EUR,United States Dollar,1.5433,2008-06-03,EUR/USD
CNY,EUR,Chinese Yuan,8.191325,2025-05-25,EUR/CNY
USD,EUR,United States Dollar,1.11186,2022-03-02,EUR/USD
GBP,EUR,British Pound Sterling,0.8085,2012-11-28,EUR/GBP
AUD,EUR,Australian Dollar,1.4882,2022-09-26,EUR/AUD
HKD,EUR,Hong Kong Dollar,8.6893,2017-05-17,EUR/HKD
CNY,EUR,Chinese Yuan,9.3169,2011-03-18,EUR/CNY
ZAR,EUR,South African Rand,19.342308,2026-05-15,EUR/ZAR
GBP,EUR,British Pound Sterling,0.8269,2013-01-11,EUR/GBP
CHF,EUR,Swiss Franc,1.0827,2019-09-03,EUR/CHF
AUD,EUR,Australian Dollar,1.765527,2025-10-30,EUR/AUD
HKD,EUR,Hong Kong Dollar,9.2382,2018-09-20,EUR/HKD
USD,EUR,United States Dollar,1.3002,2013-03-14,EUR/USD
HKD,EUR,Hong Kong Dollar,8.48251,2020-04-30,EUR/HKD
HKD,EUR,Hong Kong Dollar,9.186,2020-09-02,EUR/HKD
USD,EUR,United States Dollar,1.10143,2016-03-07,EUR/USD
ZAR,EUR,South African Rand,18.846642,2026-06-12,EUR/ZAR
MXN,EUR,Mexican Peso,21.5575,2019-07-01,EUR/MXN
CZK,EUR,Czech Republic Koruna,27.0155,2016-08-25,EUR/CZK
CHF,EUR,Swiss Franc,1.08519,2015-08-27,EUR/CHF
HKD,EUR,Hong Kong Dollar,8.485035,2024-01-26,EUR/HKD
ZAR,EUR,South African Rand,14.8806,2018-02-08,EUR/ZAR
TRY,EUR,Turkish Lira,6.5771,2019-12-20,EUR/TRY
AUD,EUR,Australian Dollar,1.6663,2006-04-25,EUR/AUD
AUD,EUR,Australian Dollar,1.6419,2007-11-16,EUR/AUD
CAD,EUR,Canadian Dollar,1.6616,2009-03-26,EUR/CAD
AUD,EUR,Australian Dollar,1.9693,2009-02-16,EUR/AUD
HKD,EUR,Hong Kong Dollar,9.1975,2021-07-27,EUR/HKD
SEK,EUR,Swedish Krona,9.6269,2017-10-19,EUR/SEK
PLN,EUR,Polish Zloty,4.2306,2017-04-05,EUR/PLN
GBP,EUR,British Pound Sterling,0.9027,2009-12-29,EUR/GBP
JPY,EUR,Japanese Yen,129.338,2021-03-26,EUR/JPY
DKK,EUR,Danish Krone,7.459147,2024-06-10,EUR/DKK
JPY,EUR,Japanese Yen,163.272781,2024-02-27,EUR/JPY
AUD,EUR,Australian Dollar,1.56867,2015-09-21,EUR/AUD
CZK,EUR,Czech Republic Koruna,27.458,2014-01-08,EUR/CZK
MXN,EUR,Mexican Peso,18.450494,2024-03-01,EUR/MXN
SGD,EUR,Singapore Dollar,1.56648,2020-06-17,EUR/SGD
JPY,EUR,Japanese Yen,139.51,2005-10-28,EUR/JPY
MXN,EUR,Mexican Peso,21.906,2020-03-01,EUR/MXN
CHF,EUR,Swiss Franc,1.543,2005-04-21,EUR/CHF
GBP,EUR,British Pound Sterling,0.8604,2021-05-31,EUR/GBP
PLN,EUR,Polish Zloty,4.2499,2018-05-04,EUR/PLN
CAD,EUR,Canadian Dollar,1.494,2014-05-20,EUR/CAD
PLN,EUR,Polish Zloty,4.2724,2014-12-31,EUR/PLN
CAD,EUR,Canadian Dollar,1.554,2008-05-07,EUR/CAD
NOK,EUR,Norwegian Krone,9.27669,2015-08-30,EUR/NOK
GBP,EUR,British Pound Sterling,0.79231,2016-05-04,EUR/GBP
CZK,EUR,Czech Republic Koruna,25.261923,2024-08-02,EUR/CZK
AUD,EUR,Australian Dollar,1.2949,2013-02-20,EUR/AUD
USD,EUR,United States Dollar,1.1951,2017-09-22,EUR/USD
CHF,EUR,Swiss Franc,0.934813,2024-10-24,EUR/CHF
HKD,EUR,Hong Kong Dollar,8.663654,2024-09-24,EUR/HKD
DKK,EUR,Danish Krone,7.443,2020-09-24,EUR/DKK
MXN,EUR,Mexican Peso,22.41243,2018-07-08,EUR/MXN
NOK,EUR,Norwegian Krone,8.4454,2014-11-17,EUR/NOK
CZK,EUR,Czech Republic Koruna,27.684,2014-12-23,EUR/CZK
GBP,EUR,British Pound Sterling,0.8319,2012-02-03,EUR/GBP
CNY,EUR,Chinese Yuan,7.7453,2021-03-19,EUR/CNY
NOK,EUR,Norwegian Krone,10.23361,2021-02-09,EUR/NOK
GBP,EUR,British Pound Sterling,0.85771,2024-01-17,EUR/GBP
NZD,EUR,New Zealand Dollar,1.579,2014-09-03,EUR/NZD
CNY,EUR,Chinese Yuan,9.1018,2010-04-07,EUR/CNY
SGD,EUR,Singapore Dollar,1.460274,2024-07-04,EUR/SGD
NOK,EUR,Norwegian Krone,11.627508,2025-03-11,EUR/NOK
USD,EUR,United States Dollar,1.1724,2005-11-21,EUR/USD
CNY,EUR,Chinese Yuan,7.8411,2019-06-10,EUR/CNY
MXN,EUR,Mexican Peso,21.675,2019-12-03,EUR/MXN
HKD,EUR,Hong Kong Dollar,10.2638,2010-08-09,EUR/HKD
CZK,EUR,Czech Republic Koruna,27.0699,2015-10-06,EUR/CZK
CAD,EUR,Canadian Dollar,1.52634,2020-05-12,EUR/CAD
SEK,EUR,Swedish Krona,9.69445,2016-10-24,EUR/SEK
USD,EUR,United States Dollar,1.2984,2010-11-30,EUR/USD
HKD,EUR,Hong Kong Dollar,11.6395,2009-11-26,EUR/HKD
USD,EUR,United States Dollar,1.164817,2025-08-10,EUR/USD
USD,EUR,United States Dollar,1.14751,2019-01-07,EUR/USD
SGD,EUR,Singapore Dollar,1.511739,2025-09-27,EUR/SGD
NZD,EUR,New Zealand Dollar,1.63662,2015-10-22,EUR/NZD
NZD,EUR,New Zealand Dollar,2.5033,2009-01-26,EUR/NZD
CNY,EUR,Chinese Yuan,9.1892,2009-05-15,EUR/CNY
GBP,EUR,British Pound Sterling,0.826,2014-04-14,EUR/GBP
SGD,EUR,Singapore Dollar,1.62151,2020-08-20,EUR/SGD
USD,EUR,United States Dollar,1.1617,2018-09-03,EUR/USD
USD,EUR,United States Dollar,1.2273,2004-10-06,EUR/USD
CAD,EUR,Canadian Dollar,1.4621,2019-12-04,EUR/CAD
DKK,EUR,Danish Krone,7.4606,2019-02-27,EUR/DKK
GBP,EUR,British Pound Sterling,0.86499,2023-10-06,EUR/GBP
CZK,EUR,Czech Republic Koruna,26.6587,2020-07-05,EUR/CZK
USD,EUR,United States Dollar,1.08381,2023-03-31,EUR/USD
PLN,EUR,Polish Zloty,4.2511,2017-07-28,EUR/PLN
CZK,EUR,Czech Republic Koruna,27.0154,2016-09-22,EUR/CZK
HKD,EUR,Hong Kong Dollar,10.1502,2011-12-16,EUR/HKD
ZAR,EUR,South African Rand,16.894,2016-03-02,EUR/ZAR
TRY,EUR,Turkish Lira,48.49936,2025-09-14,EUR/TRY
SGD,EUR,Singapore Dollar,1.4556,2022-06-30,EUR/SGD
CZK,EUR,Czech Republic Koruna,24.480413,2025-09-03,EUR/CZK
NZD,EUR,New Zealand Dollar,1.6409,2014-03-03,EUR/NZD
USD,EUR,United States Dollar,1.3633,2007-07-27,EUR/USD
