deal_id,client_id,client_segment,product_type,currency_pair,buy_sell,notional,exchange_rate,market_rate_date,request_channel,request_time,quote_time,client_accept_time,limit_check_time,trade_capture_time,confirmation_time,settlement_time,deal_status,manual_processing_flag,manual_steps_count,rework_count,exception_type,rejection_reason,sla_minutes,sla_breach
FXS-0000011,C00807,large_corporate,FX Spot,EUR/GBP,buy,7833000.0,0.8363,2012-02-13,email,2012-02-13 13:15:00,2012-02-13 13:26:52,2012-02-13 14:05:38,2012-02-13 14:19:23,2012-02-13 15:46:54,2012-02-13 16:05:54,2012-02-13 16:13:04,settled,True,4,1,incomplete_ssi,none,180,False
FXS-0000012,C00518,mid_corporate,FX Spot,EUR/GBP,buy,224000.0,0.8716,2013-02-20,email,2013-02-20 17:45:00,2013-02-20 18:11:47,2013-02-20 21:08:14,2013-02-20 21:36:01,2013-02-20 21:49:28,2013-02-20 22:34:59,2013-02-20 22:58:47,settled,True,7,0,late_confirmation,none,240,True
FXS-0000013,C00874,large_corporate,FX Spot,EUR/CHF,sell,411000.0,0.918863,2026-06-08,e_fx_portal,2026-06-08 15:21:00,2026-06-08 15:34:30,2026-06-08 15:45:49,2026-06-08 15:52:39,2026-06-08 16:13:30,2026-06-08 16:37:13,2026-06-08 17:43:39,rejected,True,7,0,none,compliance_block,180,False
FXS-0000014,C00773,financial_institution,FX Spot,EUR/JPY,buy,1045800.0,147.507,2014-12-01,e_fx_portal,2014-12-01 15:36:00,2014-12-01 15:45:30,2014-12-01 16:57:14,2014-12-01 16:58:35,2014-12-01 17:24:51,2014-12-01 17:58:23,2014-12-01 18:57:11,settled,False,0,0,late_confirmation,none,150,True
FXS-0000015,C00136,large_corporate,FX Spot,EUR/NZD,buy,2889000.0,1.6659,2013-11-27,phone,2013-11-27 15:10:00,2013-11-27 15:26:26,2013-11-27 15:46:03,2013-11-27 16:55:31,2013-11-27 17:10:34,2013-11-27 17:12:24,2013-11-27 17:44:57,settled,True,6,0,limit_delay,none,180,False
FXS-0000016,C00130,large_corporate,FX Spot,EUR/JPY,sell,19710000.0,124.81,2013-02-04,messenger,2013-02-04 15:51:00,2013-02-04 16:08:27,2013-02-04 16:26:01,2013-02-04 16:45:50,2013-02-04 17:52:30,2013-02-04 17:54:55,2013-02-04 18:27:36,settled,True,5,1,manual_reentry_error,none,180,False
FXS-0000017,C00796,mid_corporate,FX Spot,EUR/AUD,sell,869000.0,1.3447,2011-10-19,phone,2011-10-19 13:07:00,2011-10-19 13:17:14,2011-10-19 13:32:38,2011-10-19 13:38:28,2011-10-19 14:06:09,2011-10-19 14:35:41,2011-10-19 15:28:52,settled,True,6,0,none,none,240,False
FXS-0000018,C00583,mid_corporate,FX Spot,EUR/CZK,buy,268000.0,24.273126,2025-09-28,messenger,2025-09-28 09:16:00,2025-09-28 09:18:58,2025-09-28 09:31:39,2025-09-28 09:46:27,2025-09-28 09:57:39,2025-09-28 10:11:16,2025-09-28 10:49:56,settled,False,2,1,manual_reentry_error,none,240,False
FXS-0000019,C00691,mid_corporate,FX Spot,EUR/JPY,buy,281000.0,126.343,2016-03-14,email,2016-03-14 16:23:00,2016-03-14 16:39:19,2016-03-14 16:42:34,2016-03-14 16:56:26,2016-03-14 16:58:11,2016-03-14 17:10:56,2016-03-14 17:23:48,settled,False,2,0,none,none,240,False
FXS-0000020,C00824,mid_corporate,FX Spot,EUR/CAD,sell,1169000.0,1.47697,2021-07-12,phone,2021-07-12 12:30:00,2021-07-12 12:41:20,2021-07-12 12:58:39,2021-07-12 13:07:33,2021-07-12 13:12:21,2021-07-12 13:23:48,2021-07-12 13:56:24,settled,False,0,0,none,none,240,False
FXS-0000021,C00259,sme,FX Spot,EUR/CHF,sell,34650.0,1.4676,2010-02-09,e_fx_portal,2010-02-09 13:00:00,2010-02-09 13:04:33,2010-02-09 13:08:41,2010-02-09 13:17:46,2010-02-09 15:42:57,2010-02-09 16:10:06,2010-02-09 16:20:10,settled,False,1,1,duplicate_request,none,360,False
FXS-0000022,C00884,financial_institution,FX Spot,EUR/DKK,buy,352800.0,7.4376,2022-03-04,messenger,2022-03-04 11:42:00,2022-03-04 12:03:22,2022-03-04 12:16:53,2022-03-04 12:25:11,2022-03-04 12:31:13,2022-03-04 12:38:47,2022-03-04 14:40:59,settled,True,3,0,settlement_fail,none,150,True
FXS-0000023,C00059,sme,FX Spot,EUR/USD,sell,319900.0,1.06795,2023-09-19,e_fx_portal,2023-09-19 09:49:00,2023-09-19 09:51:40,2023-09-19 10:05:39,2023-09-19 10:07:49,2023-09-19 10:24:10,2023-09-19 10:59:13,2023-09-19 11:03:12,settled,False,0,0,none,none,360,False
FXS-0000024,C00932,mid_corporate,FX Spot,EUR/JPY,buy,2018000.0,181.789424,2026-02-18,e_fx_portal,2026-02-18 17:16:00,2026-02-18 17:24:40,2026-02-18 17:37:21,2026-02-18 17:51:12,2026-02-18 20:20:15,2026-02-18 20:30:26,2026-02-18 21:21:49,settled,False,2,2,none,none,240,True
FXS-0000025,C00573,mid_corporate,FX Spot,EUR/ZAR,sell,2077000.0,13.417,2015-01-15,e_fx_portal,2015-01-15 15:48:00,2015-01-15 16:16:04,2015-01-15 16:20:14,2015-01-15 16:36:53,2015-01-15 20:00:09,2015-01-15 20:22:33,2015-01-15 20:33:09,settled,True,10,3,duplicate_request,none,240,True
FXS-0000026,C00785,mid_corporate,FX Spot,EUR/HKD,sell,1086000.0,10.0154,2012-10-02,e_fx_portal,2012-10-02 14:26:00,2012-10-02 14:34:05,2012-10-02 14:53:21,2012-10-02 15:14:28,2012-10-02 15:20:15,2012-10-02 15:28:54,2012-10-02 15:42:01,settled,False,1,0,none,none,240,False
FXS-0000027,C00198,mid_corporate,FX Spot,EUR/CHF,sell,2889000.0,1.08156,2020-01-08,email,2020-01-08 12:01:00,2020-01-08 12:07:47,2020-01-08 12:18:14,2020-01-08 12:21:21,2020-01-08 12:30:53,2020-01-08 12:48:41,2020-01-08 12:53:58,settled,False,1,0,none,none,240,False
FXS-0000028,C00649,large_corporate,FX Spot,EUR/AUD,sell,1761000.0,1.2385,2012-01-10,phone,2012-01-10 16:13:00,2012-01-10 16:15:23,2012-01-10 16:23:36,2012-01-10 16:29:54,2012-01-10 16:39:07,2012-01-10 17:20:34,2012-01-10 17:43:03,settled,False,2,0,none,none,180,False
FXS-0000029,C00414,mid_corporate,FX Spot,EUR/USD,buy,472000.0,1.11516,2015-07-10,e_fx_portal,2015-07-10 13:27:00,2015-07-10 13:28:26,2015-07-10 13:42:36,2015-07-10 13:45:09,2015-07-10 13:50:01,2015-07-10 14:06:34,2015-07-10 14:23:30,settled,False,2,0,none,none,240,False
FXS-0000030,C00318,large_corporate,FX Spot,EUR/JPY,buy,2061000.0,106.17,2012-04-17,e_fx_portal,2012-04-17 12:26:00,2012-04-17 12:32:32,2012-04-17 12:49:36,2012-04-17 12:57:05,2012-04-17 13:15:22,2012-04-17 13:33:06,2012-04-17 13:54:25,settled,True,6,0,none,none,180,False
FXS-0000031,C00713,large_corporate,FX Spot,EUR/SEK,sell,3072000.0,10.25449,2020-12-02,messenger,2020-12-02 12:30:00,2020-12-02 12:48:35,2020-12-02 12:49:03,2020-12-02 15:03:48,2020-12-02 15:10:06,2020-12-02 15:40:10,2020-12-02 16:45:04,settled,True,7,0,limit_delay,none,180,True
FXS-0000032,C00931,sme,FX Spot,EUR/MXN,buy,22401750.0,21.475669,2024-10-25,phone,2024-10-25 10:16:00,2024-10-25 10:19:17,2024-10-25 10:27:31,2024-10-25 10:39:56,2024-10-25 10:50:58,2024-10-25 11:21:04,2024-10-25 12:24:24,settled,False,2,0,none,none,360,False
FXS-0000033,C00515,large_corporate,FX Spot,EUR/AUD,sell,1746000.0,1.3606,2011-04-27,email,2011-04-27 08:55:00,2011-04-27 08:57:40,2011-04-27 09:14:07,2011-04-27 09:30:41,2011-04-27 09:34:05,2011-04-27 09:57:01,2011-04-27 10:27:13,settled,False,1,0,none,none,180,False
FXS-0000034,C00519,mid_corporate,FX Spot,EUR/MXN,buy,896000.0,21.143498,2025-12-16,email,2025-12-16 13:32:00,2025-12-16 13:36:57,2025-12-16 13:57:35,2025-12-16 13:58:19,2025-12-16 14:25:39,2025-12-16 14:38:53,2025-12-16 15:48:23,settled,False,2,0,none,none,240,False
FXS-0000035,C00014,mid_corporate,FX Spot,EUR/CHF,buy,5379000.0,1.14739,2018-10-11,e_fx_portal,2018-10-11 16:52:00,2018-10-11 17:05:33,2018-10-11 17:12:00,2018-10-11 17:28:37,2018-10-11 18:18:03,2018-10-11 18:19:28,2018-10-11 18:43:54,settled,False,3,1,incomplete_ssi,none,240,False
FXS-0000036,C00075,large_corporate,FX Spot,EUR/GBP,sell,4140000.0,0.6831,2005-12-22,email,2005-12-22 08:38:00,2005-12-22 08:41:30,2005-12-22 08:49:32,2005-12-22 09:06:35,2005-12-22 09:28:30,2005-12-22 09:50:35,2005-12-22 10:43:58,settled,True,5,0,none,none,180,False
FXS-0000037,C00057,sme,FX Spot,EUR/SEK,buy,37100.0,11.56482,2024-12-07,messenger,2024-12-07 16:34:00,2024-12-07 16:47:06,2024-12-07 17:10:07,2024-12-07 17:16:14,2024-12-07 17:23:37,2024-12-07 17:28:23,2024-12-07 17:47:53,settled,True,7,0,none,none,360,False
FXS-0000038,C00773,large_corporate,FX Spot,EUR/NZD,sell,15801000.0,1.883654,2025-03-19,email,2025-03-19 16:16:00,2025-03-19 16:22:51,2025-03-19 16:33:13,2025-03-19 16:37:39,2025-03-19 17:22:33,2025-03-19 17:26:00,2025-03-19 17:32:50,settled,False,1,1,incomplete_ssi,none,180,False
FXS-0000039,C00821,sme,FX Spot,EUR/AUD,buy,370650.0,1.9456,2009-03-25,phone,2009-03-25 10:46:00,2009-03-25 10:49:14,2009-03-25 11:04:25,2009-03-25 11:19:42,2009-03-25 12:09:18,2009-03-25 12:16:47,2009-03-25 13:21:14,settled,True,7,1,incomplete_ssi,none,360,False
FXS-0000040,C00615,financial_institution,FX Spot,EUR/USD,buy,117600.0,1.16497,2018-06-26,e_fx_portal,2018-06-26 14:18:00,2018-06-26 14:27:42,2018-06-26 14:31:07,2018-06-26 14:32:30,2018-06-26 14:43:44,2018-06-26 14:49:35,2018-06-26 15:11:14,settled,False,0,0,none,none,150,False
FXS-0000041,C00713,large_corporate,FX Spot,EUR/USD,buy,1371000.0,1.433,2007-12-20,phone,2007-12-20 09:39:00,2007-12-20 09:56:47,2007-12-20 10:23:01,2007-12-20 10:26:37,2007-12-20 10:55:43,2007-12-20 10:58:50,2007-12-20 11:38:12,settled,True,4,1,manual_reentry_error,none,180,False
FXS-0000042,C00498,large_corporate,FX Spot,EUR/ZAR,buy,957000.0,17.4301,2022-07-20,e_fx_portal,2022-07-20 15:34:00,2022-07-20 15:39:08,2022-07-20 15:43:53,2022-07-20 15:48:21,2022-07-20 15:49:25,2022-07-20 16:01:16,2022-07-20 16:52:37,settled,False,2,0,none,none,180,False
FXS-0000043,C00195,large_corporate,FX Spot,EUR/CNY,sell,1269000.0,8.6689,2011-09-21,email,2011-09-21 15:00:00,2011-09-21 15:02:41,2011-09-21 15:10:34,2011-09-21 15:21:43,2011-09-21 15:29:02,2011-09-21 15:46:51,2011-09-21 17:17:08,settled,False,0,0,none,none,180,False
FXS-0000044,C00784,mid_corporate,FX Spot,EUR/SGD,buy,700000.0,1.3895,2022-08-22,phone,2022-08-22 11:32:00,2022-08-22 12:01:24,2022-08-22 12:08:37,2022-08-22 12:20:33,2022-08-22 13:03:07,2022-08-22 13:16:28,2022-08-22 14:00:07,settled,True,7,2,incomplete_ssi,none,240,False
FXS-0000045,C00352,large_corporate,FX Spot,EUR/NOK,buy,5022000.0,9.1917,2017-04-19,e_fx_portal,2017-04-19 08:40:00,2017-04-19 08:45:33,2017-04-19 08:52:26,2017-04-19 09:04:13,2017-04-19 09:08:16,2017-04-19 10:04:13,2017-04-19 10:13:51,settled,False,1,0,none,none,180,False
FXS-0000046,C00895,sme,FX Spot,EUR/CAD,sell,1096200.0,1.461833,2023-12-10,messenger,2023-12-10 17:42:00,2023-12-10 17:42:54,2023-12-10 17:57:29,2023-12-10 18:04:11,2023-12-10 18:22:23,2023-12-10 19:04:25,2023-12-10 19:28:44,settled,False,3,1,none,none,360,False
FXS-0000047,C00634,large_corporate,FX Spot,EUR/GBP,buy,9798000.0,0.6769,2005-12-14,email,2005-12-14 12:27:00,2005-12-14 12:40:29,2005-12-14 14:12:57,2005-12-14 14:28:33,2005-12-14 14:48:50,2005-12-14 15:28:48,2005-12-14 16:20:56,settled,True,4,0,late_confirmation,none,180,True
FXS-0000048,C00893,financial_institution,FX Spot,EUR/SGD,buy,19353600.0,1.5105,2019-12-27,phone,2019-12-27 16:55:00,2019-12-27 17:00:07,2019-12-27 17:17:45,2019-12-27 17:53:28,2019-12-27 17:58:53,2019-12-27 18:05:23,2019-12-27 18:30:15,settled,False,0,0,none,none,150,False
FXS-0000049,C00804,large_corporate,FX Spot,EUR/AUD,sell,1737000.0,1.2502,2012-02-28,e_fx_portal,2012-02-28 14:46:00,2012-02-28 14:46:47,2012-02-28 14:55:20,2012-02-28 15:00:30,2012-02-28 15:48:56,2012-02-28 16:02:04,2012-02-28 16:55:42,settled,False,2,1,incomplete_ssi,none,180,False
FXS-0000050,C00104,sme,FX Spot,EUR/AUD,sell,23100.0,1.3507,2011-02-25,messenger,2011-02-25 15:47:00,2011-02-25 15:52:58,2011-02-25 16:00:40,2011-02-25 16:27:41,2011-02-25 16:45:47,2011-02-25 16:54:10,2011-02-25 17:31:28,settled,True,5,0,none,none,360,False
FXS-0000051,C00218,large_corporate,FX Spot,EUR/CNY,buy,123000.0,7.9106,2023-06-30,e_fx_portal,2023-06-30 15:35:00,2023-06-30 15:46:21,2023-06-30 16:04:37,2023-06-30 16:18:32,2023-06-30 16:34:24,2023-06-30 16:39:08,2023-06-30 17:05:53,settled,True,4,0,none,none,180,False
FXS-0000052,C00276,mid_corporate,FX Spot,EUR/CAD,sell,1777000.0,1.2879,2012-05-25,e_fx_portal,2012-05-25 09:56:00,2012-05-25 10:09:52,2012-05-25 10:15:31,2012-05-25 10:28:38,2012-05-25 10:41:10,2012-05-25 11:16:43,2012-05-25 12:34:28,settled,True,6,0,none,none,240,False
FXS-0000053,C00033,mid_corporate,FX Spot,EUR/GBP,buy,681000.0,0.6757,2007-08-15,phone,2007-08-15 11:38:00,2007-08-15 11:41:02,2007-08-15 11:48:30,2007-08-15 11:55:58,2007-08-15 12:36:03,2007-08-15 12:42:13,2007-08-15 12:56:55,settled,True,5,0,none,none,240,False
FXS-0000054,C00458,large_corporate,FX Spot,EUR/GBP,buy,12243000.0,0.675,2006-08-28,phone,2006-08-28 12:40:00,2006-08-28 13:00:12,2006-08-28 13:24:27,2006-08-28 13:33:42,2006-08-28 14:51:04,2006-08-28 14:59:53,2006-08-28 15:52:42,settled,True,6,1,incomplete_ssi,none,180,True
FXS-0000055,C00553,financial_institution,FX Spot,EUR/CZK,buy,5220600.0,27.0154,2016-05-09,e_fx_portal,2016-05-09 12:58:00,2016-05-09 13:11:06,2016-05-09 13:26:31,2016-05-09 13:35:27,2016-05-09 14:51:32,2016-05-09 15:50:29,2016-05-09 17:01:02,settled,True,7,1,incomplete_ssi,none,150,True
FXS-0000056,C00024,large_corporate,FX Spot,EUR/NOK,sell,291000.0,9.8062,2018-12-17,messenger,2018-12-17 08:26:00,2018-12-17 08:48:19,2018-12-17 09:08:12,2018-12-17 09:39:34,2018-12-17 10:03:53,2018-12-17 10:16:47,2018-12-17 10:34:00,settled,True,4,0,none,none,180,False
FXS-0000057,C00827,mid_corporate,FX Spot,EUR/ZAR,buy,364000.0,19.468804,2025-01-28,e_fx_portal,2025-01-28 13:27:00,2025-01-28 13:29:22,2025-01-28 14:00:04,2025-01-28 15:52:00,2025-01-28 15:56:27,2025-01-28 16:09:27,2025-01-28 16:33:24,settled,False,1,0,limit_delay,none,240,False
FXS-0000058,C00555,mid_corporate,FX Spot,EUR/GBP,sell,1193000.0,0.88695,2017-11-22,e_fx_portal,2017-11-22 09:32:00,2017-11-22 09:37:07,2017-11-22 09:43:29,2017-11-22 09:47:23,2017-11-22 09:59:19,2017-11-22 10:04:30,2017-11-22 10:07:36,settled,False,2,0,none,none,240,False
FXS-0000059,C00839,mid_corporate,FX Spot,EUR/GBP,buy,203000.0,0.9088,2009-11-26,messenger,2009-11-26 15:26:00,2009-11-26 15:38:04,2009-11-26 15:43:20,2009-11-26 16:23:24,2009-11-26 16:40:58,2009-11-26 17:11:53,2009-11-26 18:08:26,settled,True,5,0,limit_delay,none,240,False
FXS-0000060,C00428,large_corporate,FX Spot,EUR/CHF,buy,12354000.0,1.4144,2010-06-02,email,2010-06-02 14:49:00,2010-06-02 15:01:23,2010-06-02 15:11:21,2010-06-02 15:19:45,2010-06-02 15:46:02,2010-06-02 16:20:02,2010-06-02 17:19:39,settled,True,5,0,none,none,180,False
FXS-0000061,C00128,large_corporate,FX Spot,EUR/HKD,sell,1317000.0,10.1025,2012-10-05,email,2012-10-05 17:13:00,2012-10-05 17:14:40,2012-10-05 17:41:06,2012-10-05 17:50:32,2012-10-05 17:54:36,2012-10-05 18:23:00,2012-10-05 18:57:38,settled,False,2,0,none,none,180,False
FXS-0000062,C00125,large_corporate,FX Spot,EUR/DKK,sell,1512000.0,7.4661,2019-09-30,messenger,2019-09-30 15:26:00,2019-09-30 15:42:26,2019-09-30 15:48:53,2019-09-30 15:52:41,2019-09-30 16:17:52,2019-09-30 16:54:21,2019-09-30 17:14:11,settled,True,8,1,none,none,180,False
FXS-0000063,C00597,large_corporate,FX Spot,EUR/PLN,buy,345000.0,4.44787,2020-09-10,phone,2020-09-10 11:39:00,2020-09-10 11:54:41,2020-09-10 12:16:22,2020-09-10 12:42:02,2020-09-10 12:54:39,2020-09-10 13:29:18,2020-09-10 13:58:18,settled,True,4,0,none,none,180,False
FXS-0000064,C00887,large_corporate,FX Spot,EUR/PLN,buy,22797000.0,4.310239,2024-10-18,email,2024-10-18 17:40:00,2024-10-18 17:47:32,2024-10-18 17:48:35,2024-10-18 17:52:37,2024-10-18 17:57:28,2024-10-18 18:12:02,2024-10-18 18:37:50,settled,False,2,0,none,none,180,False
FXS-0000065,C00001,sme,FX Spot,EUR/AUD,sell,204050.0,1.59421,2019-01-14,phone,2019-01-14 12:06:00,2019-01-14 12:08:10,2019-01-14 12:25:50,2019-01-14 12:31:15,2019-01-14 13:36:53,2019-01-14 13:55:21,2019-01-14 15:30:49,settled,False,1,1,none,none,360,False
FXS-0000066,C00491,mid_corporate,FX Spot,EUR/PLN,sell,1019000.0,4.235482,2026-05-25,e_fx_portal,2026-05-25 11:15:00,2026-05-25 11:28:57,2026-05-25 11:31:47,2026-05-25 11:41:40,2026-05-25 12:49:55,2026-05-25 13:01:29,2026-05-25 13:10:18,settled,False,4,2,duplicate_request,none,240,False
FXS-0000067,C00520,mid_corporate,FX Spot,EUR/GBP,buy,300000.0,0.73498,2015-10-20,e_fx_portal,2015-10-20 17:03:00,2015-10-20 17:07:33,2015-10-20 17:21:06,2015-10-20 17:33:42,2015-10-20 17:39:42,2015-10-20 17:57:41,2015-10-20 18:57:36,settled,False,1,0,none,none,240,False
FXS-0000068,C00283,mid_corporate,FX Spot,EUR/TRY,buy,463000.0,18.23326,2022-09-08,e_fx_portal,2022-09-08 11:42:00,2022-09-08 11:56:06,2022-09-08 12:36:08,2022-09-08 12:38:16,2022-09-08 12:41:29,2022-09-08 13:02:03,2022-09-08 13:11:35,settled,False,1,0,none,none,240,False
FXS-0000069,C00830,large_corporate,FX Spot,EUR/NOK,sell,3117000.0,10.478,2022-06-19,email,2022-06-19 08:45:00,2022-06-19 08:55:43,2022-06-19 09:15:45,2022-06-19 09:44:11,2022-06-19 09:51:11,2022-06-19 10:05:58,2022-06-19 10:50:41,settled,True,4,0,none,none,180,False
FXS-0000070,C00023,mid_corporate,FX Spot,EUR/CHF,buy,1201000.0,1.471,2009-03-10,phone,2009-03-10 12:41:00,2009-03-10 12:49:25,2009-03-10 13:19:01,2009-03-10 13:26:13,2009-03-10 13:57:32,2009-03-10 14:07:02,2009-03-10 14:41:18,settled,True,6,0,none,none,240,False
FXS-0000071,C00341,large_corporate,FX Spot,EUR/GBP,buy,4245000.0,0.827452,2025-02-21,email,2025-02-21 15:57:00,2025-02-21 15:59:26,2025-02-21 16:11:53,2025-02-21 16:34:20,2025-02-21 16:42:43,2025-02-21 16:50:55,2025-02-21 17:12:20,settled,False,2,0,none,none,180,False
FXS-0000072,C00554,mid_corporate,FX Spot,EUR/CAD,buy,2333000.0,1.499697,2024-09-12,messenger,2024-09-12 09:53:00,2024-09-12 09:54:16,2024-09-12 12:45:26,2024-09-12 12:55:28,2024-09-12 13:02:01,2024-09-12 14:41:12,2024-09-12 15:15:40,settled,False,1,0,late_confirmation,none,240,True
FXS-0000073,C00281,mid_corporate,FX Spot,EUR/NZD,buy,1619000.0,1.6638,2013-08-13,email,2013-08-13 12:37:00,2013-08-13 12:47:03,2013-08-13 13:06:07,2013-08-13 13:11:14,2013-08-13 13:19:44,2013-08-13 13:41:17,2013-08-13 14:19:55,settled,False,0,0,none,none,240,False
FXS-0000074,C00758,mid_corporate,FX Spot,EUR/AUD,sell,1366000.0,1.59055,2019-04-24,e_fx_portal,2019-04-24 09:17:00,2019-04-24 09:19:47,2019-04-24 09:23:33,2019-04-24 09:36:13,2019-04-24 10:23:52,2019-04-24 10:32:05,2019-04-24 14:55:29,settled,False,1,1,settlement_fail,none,240,True
FXS-0000075,C00430,sme,FX Spot,EUR/GBP,buy,119700.0,0.836744,2025-03-31,phone,2025-03-31 14:51:00,2025-03-31 15:03:47,2025-03-31 15:09:28,2025-03-31 15:32:20,2025-03-31 15:51:35,2025-03-31 16:03:08,2025-03-31 16:15:38,settled,True,4,0,none,none,360,False
FXS-0000076,C00050,large_corporate,FX Spot,EUR/SEK,sell,1689000.0,10.52639,2019-07-16,e_fx_portal,2019-07-16 12:45:00,2019-07-16 12:45:39,2019-07-16 12:49:15,2019-07-16 13:04:17,2019-07-16 13:20:39,2019-07-16 13:30:10,2019-07-16 13:56:48,rejected,False,3,1,incomplete_ssi,client_declined,180,False
FXS-0000077,C00484,mid_corporate,FX Spot,EUR/TRY,buy,178000.0,3.3393,2016-09-23,phone,2016-09-23 11:18:00,2016-09-23 11:22:58,2016-09-23 11:58:18,2016-09-23 12:13:56,2016-09-23 12:21:02,2016-09-23 12:45:10,2016-09-23 13:03:36,settled,True,6,0,none,none,240,False
FXS-0000078,C00907,large_corporate,FX Spot,EUR/CHF,buy,1233000.0,1.2183,2014-06-17,e_fx_portal,2014-06-17 10:16:00,2014-06-17 10:26:23,2014-06-17 10:54:18,2014-06-17 10:59:08,2014-06-17 11:01:04,2014-06-17 11:36:43,2014-06-17 12:40:09,settled,False,1,0,none,none,180,False
FXS-0000079,C00452,mid_corporate,FX Spot,EUR/SGD,sell,1192000.0,1.5088,2017-03-16,e_fx_portal,2017-03-16 13:38:00,2017-03-16 13:47:37,2017-03-16 13:59:14,2017-03-16 14:09:31,2017-03-16 14:32:16,2017-03-16 14:45:20,2017-03-16 15:31:00,settled,True,6,1,manual_reentry_error,none,240,False
FXS-0000080,C00230,mid_corporate,FX Spot,EUR/GBP,buy,1157000.0,0.8984,2018-12-14,email,2018-12-14 14:41:00,2018-12-14 15:01:44,2018-12-14 15:08:25,2018-12-14 15:11:01,2018-12-14 15:22:57,2018-12-14 15:28:23,2018-12-14 15:53:42,settled,True,6,0,none,none,240,False
FXS-0000081,C00229,large_corporate,FX Spot,EUR/CHF,buy,4689000.0,0.911314,2026-02-28,phone,2026-02-28 17:24:00,2026-02-28 17:29:24,2026-02-28 17:37:01,2026-02-28 17:48:29,2026-02-28 18:02:52,2026-02-28 18:07:22,2026-02-28 18:36:09,settled,False,1,0,none,none,180,False
